Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","77.22","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","100.49","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","94.11","E","Estimated value"
"QI","Production Indices","024","Angola","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","111.44","E","Estimated value"
"QI","Production Indices","028","Antigua and Barbuda","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","72.06","E","Estimated value"
"QI","Production Indices","032","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","133.47","E","Estimated value"
"QI","Production Indices","051","Armenia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","51.15","E","Estimated value"
"QI","Production Indices","036","Australia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","130.41","E","Estimated value"
"QI","Production Indices","040","Austria","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","87.34","E","Estimated value"
"QI","Production Indices","031","Azerbaijan","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","102.77","E","Estimated value"
"QI","Production Indices","044","Bahamas","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","98.37","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","103.33","E","Estimated value"
"QI","Production Indices","052","Barbados","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","73.92","E","Estimated value"
"QI","Production Indices","112","Belarus","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","93.06","E","Estimated value"
"QI","Production Indices","056","Belgium","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","94.86","E","Estimated value"
"QI","Production Indices","084","Belize","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","126.34","E","Estimated value"
"QI","Production Indices","204","Benin","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","104.44","E","Estimated value"
"QI","Production Indices","064","Bhutan","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","107.62","E","Estimated value"
"QI","Production Indices","068","Bolivia (Plurinational State of)","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","85.24","E","Estimated value"
"QI","Production Indices","070","Bosnia and Herzegovina","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","93.4","E","Estimated value"
"QI","Production Indices","072","Botswana","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","48.02","E","Estimated value"
"QI","Production Indices","076","Brazil","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","117.39","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","90.77","E","Estimated value"
"QI","Production Indices","100","Bulgaria","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","108.6","E","Estimated value"
"QI","Production Indices","854","Burkina Faso","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","86.46","E","Estimated value"
"QI","Production Indices","108","Burundi","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","109.78","E","Estimated value"
"QI","Production Indices","132","Cabo Verde","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","0.08","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","108.23","E","Estimated value"
"QI","Production Indices","120","Cameroon","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","94.75","E","Estimated value"
"QI","Production Indices","124","Canada","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","101.3","E","Estimated value"
"QI","Production Indices","140","Central African Republic","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","101.02","E","Estimated value"
"QI","Production Indices","148","Chad","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","94.05","E","Estimated value"
"QI","Production Indices","152","Chile","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","89.36","E","Estimated value"
"QI","Production Indices","159","China","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","101.38","E","Estimated value"
"QI","Production Indices","344","China, Hong Kong SAR","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","104.76","E","Estimated value"
"QI","Production Indices","156","China, mainland","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","101.35","E","Estimated value"
"QI","Production Indices","158","China, Taiwan Province of","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","106.82","E","Estimated value"
"QI","Production Indices","170","Colombia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","114.82","E","Estimated value"
"QI","Production Indices","174","Comoros","434","Gross per capita Production Index Number (2014-2016 = 100)","F1717","Cereals, primary","2017","2017","index","99.37","E","Estimated value"
