DATAFLOW,LAST UPDATE,freq,crops,farmtype,so_eur,unit,agrarea,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Austria,2016,1344380,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Belgium,2016,855410,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Bulgaria,2016,3243960,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Switzerland,2016,401330,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Cyprus,2016,84250,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Czechia,2016,2473220,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Germany (until 1990 former territory of the FRG),2016,11819330,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Denmark,2016,2361200,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Estonia,2016,686560,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Greece,2016,1762250,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Spain,2016,11462910,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Finland,2016,2164960,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,France,2016,18249970,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Croatia,2016,881620,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Hungary,2016,3821830,
ESTAT:EF_LUS_MAIN(1.0),10/01/23 23:00:00,Annual,Arable land,Total,Total,Hectare,Total,Ireland,2016,458290,
