Classification Name,"Time","Country Name","Cost of an energy sufficient diet","Cost of a nutrient adequate diet","Cost of a healthy diet","Cost of fruits","Cost of vegetables","Cost of starchy staples","Cost of animal-source foods","Percent of the population who cannot afford sufficient calories","Percent of the population who cannot afford nutrient adequacy","Percent of the population who cannot afford a healthy diet"
Food Prices for Nutrition 1.1,"2017","Albania","0.725","2.471","3.952","0.911","0.707","0.599","1.204","0","8.9","31.3"
Food Prices for Nutrition 1.1,"2017","Algeria","0.773","2.323","3.763","0.979","0.699","0.496","0.964","0.1","6.3","32.7"
Food Prices for Nutrition 1.1,"2017","Angola","1.403","3.231","4.327","0.717","1.199","0.839","1.011","35.6","70.8","81.2"
Food Prices for Nutrition 1.1,"2017","Anguilla","1.308","2.433","3.717","0.811","1.019","0.778","0.647","","",""
Food Prices for Nutrition 1.1,"2017","Antigua and Barbuda","0.933","3.017","4.112","1.003","1.279","0.604","0.682","","",""
Food Prices for Nutrition 1.1,"2017","Argentina","0.652","2.625","3.341","0.733","0.703","0.463","0.669","0.2","4","6.8"
Food Prices for Nutrition 1.1,"2017","Armenia","1.013","2.208","3.096","0.488","0.433","0.537","0.973","0.5","14.3","37.1"
Food Prices for Nutrition 1.1,"2017","Aruba","1.13","2.835","3.418","0.475","0.907","0.797","0.718","","",""
Food Prices for Nutrition 1.1,"2017","Australia","0.307","1.595","2.259","0.667","0.597","0.221","0.458","0.2","0.5","0.7"
Food Prices for Nutrition 1.1,"2017","Austria","0.346","2.256","2.772","0.819","0.698","0.229","0.612","0.2","0.5","0.6"
Food Prices for Nutrition 1.1,"2017","Azerbaijan","0.789","1.836","2.348","0.26","0.317","0.448","0.729","0","0","0"
Food Prices for Nutrition 1.1,"2017","Bahamas, The","1.049","4.683","4.276","1.03","0.716","0.574","0.848","","",""
Food Prices for Nutrition 1.1,"2017","Bahrain","0.792","2.829","3.379","0.474","0.688","0.653","1.006","","",""
Food Prices for Nutrition 1.1,"2017","Bangladesh","0.644","1.947","2.882","0.559","0.477","0.359","1.143","0.5","47.4","74.6"
Food Prices for Nutrition 1.1,"2017","Barbados","0.896","2.226","","","","","","","",""
Food Prices for Nutrition 1.1,"2017","Belarus","0.8","2.161","3.177","0.678","0.349","0.506","0.826","0","0.2","2.1"
Food Prices for Nutrition 1.1,"2017","Belgium","0.263","2.406","2.862","0.79","0.677","0.222","0.745","0.1","0.3","0.3"
Food Prices for Nutrition 1.1,"2017","Belize","1.13","2.803","2.476","0.162","0.805","0.38","0.776","17.6","53.2","47.4"
Food Prices for Nutrition 1.1,"2017","Benin","0.652","2.498","3.55","0.538","1.012","0.41","1.168","13.5","81.7","90.5"
Food Prices for Nutrition 1.1,"2017","Bermuda","1.099","4.706","4.072","0.478","1.652","0.743","0.502","","",""
Food Prices for Nutrition 1.1,"2017","Bhutan","1.047","2.802","4.383","1.122","0.94","0.54","1.191","0.7","26.2","51.2"
Food Prices for Nutrition 1.1,"2017","Bolivia","1.468","3.338","3.551","0.411","0.644","0.781","1.046","6.8","19.1","20.9"
Food Prices for Nutrition 1.1,"2017","Bonaire","0.746","3.329","","","","","","","",""
Food Prices for Nutrition 1.1,"2017","Bosnia and Herzegovina","0.691","3.051","3.847","0.916","0.825","0.54","0.921","0","2.4","4.6"
Food Prices for Nutrition 1.1,"2017","Botswana","0.505","2.25","3.622","0.795","0.796","0.39","1.097","1.3","44.3","63.2"
Food Prices for Nutrition 1.1,"2017","Brazil","0.848","2.657","2.809","0.46","0.465","0.439","0.635","3.5","18.1","19.6"
Food Prices for Nutrition 1.1,"2017","British Virgin Islands","1.563","3.059","3.235","0.425","0.785","0.808","0.828","","",""
Food Prices for Nutrition 1.1,"2017","Brunei Darussalam","0.762","2.376","4.126","0.894","0.932","0.674","1.123","","",""
Food Prices for Nutrition 1.1,"2017","Bulgaria","0.504","2.768","3.78","0.959","0.774","0.504","0.963","0.3","6.3","10.6"
Food Prices for Nutrition 1.1,"2017","Burkina Faso","0.574","2.538","3.173","0.354","0.917","0.439","1.145","5.3","76.1","82.9"
Food Prices for Nutrition 1.1,"2017","Burundi","0.708","1.589","2.988","0.447","0.532","0.615","1.112","43.1","85.1","96.1"
Food Prices for Nutrition 1.1,"2017","Cabo Verde","0.62","2.522","3.358","0.823","1.036","0.342","0.779","0.3","29.7","44.5"
Food Prices for Nutrition 1.1,"2017","Cambodia","0.993","2.761","3.618","0.526","0.791","0.503","1.226","","",""
Food Prices for Nutrition 1.1,"2017","Cameroon","0.894","2.065","2.616","0.447","0.592","0.48","0.837","15.4","48.2","58.8"
Food Prices for Nutrition 1.1,"2017","Canada","0.673","2.111","2.863","0.673","0.605","0.43","0.766","0","0.5","0.7"
Food Prices for Nutrition 1.1,"2017","Cayman Islands","1.095","2.231","2.928","0.654","0.75","0.556","0.585","","",""
Food Prices for Nutrition 1.1,"2017","Central African Republic","1.021","1.706","3.423","0.345","0.955","0.525","1.284","65.4","82.3","94.3"
Food Prices for Nutrition 1.1,"2017","Chad","0.709","1.761","2.831","0.39","0.703","0.497","0.882","11.3","60.7","82.7"
Food Prices for Nutrition 1.1,"2017","Chile","0.644","2.179","3.053","0.619","0.94","0.352","0.765","0.2","1.6","4.6"
Food Prices for Nutrition 1.1,"2017","China","0.848","2.111","2.571","0.617","0.478","0.429","0.672","0.2","9.7","16.6"
Food Prices for Nutrition 1.1,"2017","Colombia","0.991","2.526","2.863","0.492","0.617","0.548","0.798","3.5","20.3","24.8"
Food Prices for Nutrition 1.1,"2017","Comoros","1.101","3.461","","","","","","","",""
Food Prices for Nutrition 1.1,"2017","Congo, Dem. Rep.","0.56","2.049","2.921","0.315","0.804","0.383","1.207","27.5","86.7","94.1"
Food Prices for Nutrition 1.1,"2017","Congo, Rep.","0.987","2.576","3.343","0.733","1.12","0.532","0.633","40.3","80.9","88.9"
Food Prices for Nutrition 1.1,"2017","Costa Rica","0.973","2.824","3.961","0.587","1.388","0.617","0.863","0.7","7.8","16"
Food Prices for Nutrition 1.1,"2017","Côte d'Ivoire","0.815","1.619","3.273","0.39","1.041","0.434","1.111","8.4","39.6","77.7"
Food Prices for Nutrition 1.1,"2017","Croatia","0.663","3.211","4.168","0.95","1.138","0.496","0.955","0.3","3.3","6.2"
Food Prices for Nutrition 1.1,"2017","Curacao","1.137","2.396","2.866","0.466","0.711","0.607","0.673","","",""
Food Prices for Nutrition 1.1,"2017","Cyprus","0.577","2.068","2.846","0.724","0.65","0.416","0.697","0","0.1","0.1"
Food Prices for Nutrition 1.1,"2017","Czech Republic","0.441","2.361","2.899","0.693","0.757","0.297","0.7","0","0.1","0.2"
Food Prices for Nutrition 1.1,"2017","Denmark","0.3","1.728","2.376","0.546","0.78","0.235","0.498","0.1","0.2","0.2"
Food Prices for Nutrition 1.1,"2017","Djibouti","0.616","2.459","2.797","0.556","0.529","0.449","0.988","5.6","59","65.8"
Food Prices for Nutrition 1.1,"2017","Dominica","1.217","3.478","4","0.66","1.226","0.764","0.841","","",""
Food Prices for Nutrition 1.1,"2017","Dominican Republic","1.181","2.876","3.521","0.534","0.865","0.681","0.898","1.3","15.8","24.9"
Food Prices for Nutrition 1.1,"2017","East Asia & Pacific","0.973","2.62","3.7","0.821","0.842","0.617","0.933","1.1","16.4","26.1"
Food Prices for Nutrition 1.1,"2017","Ecuador","1.348","2.512","2.788","0.329","0.426","0.81","0.753","4.4","14.8","17.6"
Food Prices for Nutrition 1.1,"2017","Egypt, Arab Rep.","0.988","2.29","3.457","0.531","0.489","0.58","1.209","1","33.4","67.4"
Food Prices for Nutrition 1.1,"2017","El Salvador","1.46","5.866","","","","","","","",""
Food Prices for Nutrition 1.1,"2017","Equatorial Guinea","0.768","1.865","3.526","0.593","1.152","0.623","0.804","","",""
Food Prices for Nutrition 1.1,"2017","Estonia","0.418","2.554","3.125","0.742","0.542","0.333","0.752","0.2","0.8","1"
Food Prices for Nutrition 1.1,"2017","Eswatini","0.931","2.244","3.428","0.524","0.766","0.506","1.136","26.8","64.5","77.1"
Food Prices for Nutrition 1.1,"2017","Ethiopia","0.721","2.004","3.108","0.777","0.545","0.444","0.882","7.7","62.6","85.8"
Food Prices for Nutrition 1.1,"2017","Europe & Central Asia","0.545","2.232","2.954","0.684","0.687","0.372","0.749","0.2","2","3.8"
Food Prices for Nutrition 1.1,"2017","Fiji","0.849","2.558","3.612","0.914","0.795","0.516","1.001","0.2","21","44.5"
Food Prices for Nutrition 1.1,"2017","Finland","0.28","2.465","2.545","0.597","0.727","0.195","0.543","0.1","0.1","0.1"
Food Prices for Nutrition 1.1,"2017","France","0.315","1.874","2.936","0.859","0.848","0.246","0.64","0","0","0.1"
Food Prices for Nutrition 1.1,"2017","Gabon","0.956","2.57","3.358","0.568","1.174","0.553","0.735","1.3","16.3","28.5"
Food Prices for Nutrition 1.1,"2017","Gambia, The","0.983","2.529","2.942","0.659","0.897","0.49","0.589","8.7","62","71.7"
Food Prices for Nutrition 1.1,"2017","Germany","0.262","2.224","2.786","0.714","0.816","0.235","0.666","0","0.2","0.2"
Food Prices for Nutrition 1.1,"2017","Ghana","0.824","2.516","3.767","0.395","1.263","0.552","1.235","15","62.9","80"
Food Prices for Nutrition 1.1,"2017","Greece","0.672","2.557","3.037","0.581","0.742","0.41","0.797","0.5","2.6","3.8"
Food Prices for Nutrition 1.1,"2017","Grenada","1.328","3.767","5.382","1.207","1.189","0.781","1.335","","",""
Food Prices for Nutrition 1.1,"2017","Guinea","0.904","2.215","3.655","0.453","1.781","0.495","0.559","8.5","61.4","88.4"
Food Prices for Nutrition 1.1,"2017","Guinea-Bissau","0.925","1.857","3.164","0.528","1.277","0.576","0.569","18.2","59.6","84.4"
Food Prices for Nutrition 1.1,"2017","Guyana","0.727","3.606","4.629","1.282","1.117","0.509","0.922","4.5","32.7","46.5"
Food Prices for Nutrition 1.1,"2017","Haiti","1.095","2.929","3.93","0.377","0.845","0.646","1.583","24.2","75","85.5"
Food Prices for Nutrition 1.1,"2017","High income","0.709","2.401","3.138","0.688","0.799","0.452","0.744","0.6","1","1.6"
Food Prices for Nutrition 1.1,"2017","Honduras","1.146","3.472","3.36","0.484","0.68","0.637","1.083","14.3","49.9","48.5"
Food Prices for Nutrition 1.1,"2017","Hong Kong SAR, China","0.908","2.316","3.659","0.675","0.742","0.745","1.034","","",""
Food Prices for Nutrition 1.1,"2017","Hungary","0.434","2.258","3.302","0.828","0.754","0.407","0.805","0.3","1.9","3.7"
Food Prices for Nutrition 1.1,"2017","Iceland","0.378","2.422","2.213","0.484","0.525","0.277","0.596","0","0","0"
Food Prices for Nutrition 1.1,"2017","India","0.789","2.125","2.824","0.504","0.588","0.407","0.892","3.2","64","78.8"
Food Prices for Nutrition 1.1,"2017","Indonesia","1.021","2.664","4.129","0.792","1.16","0.69","0.929","4.3","49.4","72.8"
Food Prices for Nutrition 1.1,"2017","Iran, Islamic Rep.","0.871","2.009","3.005","0.627","0.49","0.444","0.704","0.2","5","14.4"
Food Prices for Nutrition 1.1,"2017","Iraq","1.165","2.505","3.378","0.654","0.667","0.639","0.999","0.1","6","17.2"
Food Prices for Nutrition 1.1,"2017","Ireland","0.568","2.026","2.397","0.621","0.582","0.326","0.523","0.2","0.3","0.4"
Food Prices for Nutrition 1.1,"2017","Israel","0.503","1.898","2.436","0.562","0.397","0.345","0.842","0.2","1.2","1.9"
Food Prices for Nutrition 1.1,"2017","Italy","0.312","2.226","2.885","0.812","0.751","0.221","0.778","1","2.1","2.8"
Food Prices for Nutrition 1.1,"2017","Jamaica","1.015","4.057","5.975","1.997","1.454","0.684","1.144","0.9","37.6","58.7"
Food Prices for Nutrition 1.1,"2017","Japan","2.958","3.557","5.529","1.003","1.567","1.477","0.887","1.2","1.4","2.7"
Food Prices for Nutrition 1.1,"2017","Jordan","0.643","1.61","3.412","0.604","0.667","0.402","1.288","0","0.1","3.9"
Food Prices for Nutrition 1.1,"2017","Kazakhstan","0.653","1.753","2.391","0.356","0.344","0.43","0.672","0","0.5","2.5"
Food Prices for Nutrition 1.1,"2017","Kenya","0.767","1.851","2.846","0.569","0.515","0.432","0.935","11.7","57.1","77.5"
Food Prices for Nutrition 1.1,"2017","Korea, Rep.","0.669","4.242","4.712","1.331","1.265","0.485","1.188","0","1.5","2.2"
Food Prices for Nutrition 1.1,"2017","Kuwait","0.341","1.791","3.344","0.64","0.924","0.253","1.024","","",""
Food Prices for Nutrition 1.1,"2017","Kyrgyz Republic","0.965","2.459","2.97","0.466","0.445","0.529","0.796","0.7","38.9","56.3"
Food Prices for Nutrition 1.1,"2017","Lao PDR","0.724","2.901","3.776","0.736","0.892","0.478","1.105","0.8","61.1","75.3"
Food Prices for Nutrition 1.1,"2017","Latin America & Caribbean","1.09","3.056","3.619","0.658","0.885","0.615","0.882","3","17.9","22.1"
Food Prices for Nutrition 1.1,"2017","Latvia","0.442","2.029","3.124","0.648","0.921","0.335","0.794","0.2","1.7","3.4"
Food Prices for Nutrition 1.1,"2017","Lesotho","0.608","2.306","3.77","0.838","0.788","0.462","1.172","10.7","63.2","83.2"
Food Prices for Nutrition 1.1,"2017","Liberia","0.971","2.982","4.018","0.901","0.84","1.27","0.685","20.4","82.9","92.1"
Food Prices for Nutrition 1.1,"2017","Lithuania","0.505","1.969","3.003","0.67","0.834","0.368","0.702","0.8","1.6","3.3"
Food Prices for Nutrition 1.1,"2017","Low income","0.835","2.038","3.084","0.495","0.761","0.533","0.941","18.9","72.7","88.7"
Food Prices for Nutrition 1.1,"2017","Lower middle income","0.945","2.507","3.398","0.639","0.762","0.53","0.99","7.2","53","72.4"
Food Prices for Nutrition 1.1,"2017","Luxembourg","0.335","2.038","2.492","0.762","0.53","0.208","0.656","0.1","0.4","0.4"
Food Prices for Nutrition 1.1,"2017","Madagascar","1.079","2.589","2.987","0.563","0.324","0.555","1.02","78.5","96","97.1"
Food Prices for Nutrition 1.1,"2017","Malawi","0.285","1.616","2.724","0.396","0.61","0.328","1.085","2.4","83.2","94.5"
Food Prices for Nutrition 1.1,"2017","Malaysia","0.909","2.384","3.224","0.929","0.648","0.456","0.83","0","0.9","2.9"
Food Prices for Nutrition 1.1,"2017","Maldives","0.423","2.686","3.581","0.861","1.067","0.239","0.906","0","0.9","4"
Food Prices for Nutrition 1.1,"2017","Mali","0.6","1.985","2.9","0.543","0.648","0.43","1.003","1.9","57.2","77"
