Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","94.52","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","104.01","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","98.91","E","Estimated value"
"QI","Production Indices","024","Angola","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","96.08","E","Estimated value"
"QI","Production Indices","028","Antigua and Barbuda","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","92.07","E","Estimated value"
"QI","Production Indices","032","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","104.11","E","Estimated value"
"QI","Production Indices","051","Armenia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","96.11","E","Estimated value"
"QI","Production Indices","036","Australia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","104.74","E","Estimated value"
"QI","Production Indices","040","Austria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","96.72","E","Estimated value"
"QI","Production Indices","031","Azerbaijan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","105.5","E","Estimated value"
"QI","Production Indices","044","Bahamas","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","99.09","E","Estimated value"
"QI","Production Indices","048","Bahrain","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","129.06","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","105.23","E","Estimated value"
"QI","Production Indices","052","Barbados","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","102.24","E","Estimated value"
"QI","Production Indices","112","Belarus","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","103.22","E","Estimated value"
"QI","Production Indices","056","Belgium","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","101.34","E","Estimated value"
"QI","Production Indices","084","Belize","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","99.46","E","Estimated value"
"QI","Production Indices","204","Benin","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","98.54","E","Estimated value"
"QI","Production Indices","064","Bhutan","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","107.95","E","Estimated value"
"QI","Production Indices","068","Bolivia (Plurinational State of)","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","98.58","E","Estimated value"
"QI","Production Indices","070","Bosnia and Herzegovina","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","96.85","E","Estimated value"
"QI","Production Indices","072","Botswana","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","89.43","E","Estimated value"
"QI","Production Indices","076","Brazil","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","105.44","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","97.89","E","Estimated value"
"QI","Production Indices","100","Bulgaria","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","108.09","E","Estimated value"
"QI","Production Indices","854","Burkina Faso","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","89.89","E","Estimated value"
"QI","Production Indices","108","Burundi","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","97.02","E","Estimated value"
"QI","Production Indices","132","Cabo Verde","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","89.72","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","104.76","E","Estimated value"
"QI","Production Indices","120","Cameroon","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","93.23","E","Estimated value"
"QI","Production Indices","124","Canada","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","106.18","E","Estimated value"
"QI","Production Indices","140","Central African Republic","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","101.23","E","Estimated value"
"QI","Production Indices","148","Chad","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","101.87","E","Estimated value"
"QI","Production Indices","152","Chile","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","96.23","E","Estimated value"
"QI","Production Indices","159","China","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","101.04","E","Estimated value"
"QI","Production Indices","344","China, Hong Kong SAR","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","99.07","E","Estimated value"
"QI","Production Indices","446","China, Macao SAR","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","90.58","E","Estimated value"
"QI","Production Indices","156","China, mainland","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","101.02","E","Estimated value"
"QI","Production Indices","158","China, Taiwan Province of","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","102.94","E","Estimated value"
"QI","Production Indices","170","Colombia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","94.33","E","Estimated value"
"QI","Production Indices","174","Comoros","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","100.16","E","Estimated value"
"QI","Production Indices","178","Congo","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","95.27","E","Estimated value"
"QI","Production Indices","184","Cook Islands","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","94.72","E","Estimated value"
"QI","Production Indices","188","Costa Rica","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","102.86","E","Estimated value"
"QI","Production Indices","384","Côte d'Ivoire","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","105.95","E","Estimated value"
"QI","Production Indices","191","Croatia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","94.79","E","Estimated value"
"QI","Production Indices","192","Cuba","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","103.92","E","Estimated value"
"QI","Production Indices","196","Cyprus","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","102.18","E","Estimated value"
"QI","Production Indices","203","Czechia","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","94.87","E","Estimated value"
"QI","Production Indices","408","Democratic People's Republic of Korea","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","94.2","E","Estimated value"
"QI","Production Indices","180","Democratic Republic of the Congo","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","98.56","E","Estimated value"
"QI","Production Indices","208","Denmark","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","101.06","E","Estimated value"
"QI","Production Indices","262","Djibouti","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","122.63","E","Estimated value"
"QI","Production Indices","212","Dominica","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","98.81","E","Estimated value"
"QI","Production Indices","214","Dominican Republic","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","103.27","E","Estimated value"
"QI","Production Indices","218","Ecuador","434","Gross per capita Production Index Number (2014-2016 = 100)","F2054","Food","2017","2017","index","93.25","E","Estimated value"
