Classification Name,"Time","Country Name","Population"
Food Prices for Nutrition 1.0,"2017","Albania","2873457"
Food Prices for Nutrition 1.0,"2017","Algeria","41389174"
Food Prices for Nutrition 1.0,"2017","Angola","29816769"
Food Prices for Nutrition 1.0,"2017","Anguilla",""
Food Prices for Nutrition 1.0,"2017","Antigua and Barbuda","95425"
Food Prices for Nutrition 1.0,"2017","Argentina","44044811"
Food Prices for Nutrition 1.0,"2017","Armenia","2944789"
Food Prices for Nutrition 1.0,"2017","Aruba","105361"
Food Prices for Nutrition 1.0,"2017","Australia","24601860"
Food Prices for Nutrition 1.0,"2017","Austria","8797566"
Food Prices for Nutrition 1.0,"2017","Azerbaijan","9854033"
Food Prices for Nutrition 1.0,"2017","Bahamas, The","381749"
Food Prices for Nutrition 1.0,"2017","Bahrain","1494077"
Food Prices for Nutrition 1.0,"2017","Bangladesh","159685421"
Food Prices for Nutrition 1.0,"2017","Barbados","286229"
Food Prices for Nutrition 1.0,"2017","Belarus","9458989"
Food Prices for Nutrition 1.0,"2017","Belgium","11375158"
Food Prices for Nutrition 1.0,"2017","Belize","375775"
Food Prices for Nutrition 1.0,"2017","Benin","11175192"
Food Prices for Nutrition 1.0,"2017","Bermuda","63873"
Food Prices for Nutrition 1.0,"2017","Bhutan","745563"
Food Prices for Nutrition 1.0,"2017","Bolivia","11192853"
Food Prices for Nutrition 1.0,"2017","Bonaire",""
Food Prices for Nutrition 1.0,"2017","Bosnia and Herzegovina","3351534"
Food Prices for Nutrition 1.0,"2017","Botswana","2205076"
Food Prices for Nutrition 1.0,"2017","Brazil","207833825"
Food Prices for Nutrition 1.0,"2017","British Virgin Islands","29567"
Food Prices for Nutrition 1.0,"2017","Brunei Darussalam","424481"
Food Prices for Nutrition 1.0,"2017","Bulgaria","7075947"
Food Prices for Nutrition 1.0,"2017","Burkina Faso","19193236"
Food Prices for Nutrition 1.0,"2017","Burundi","10827010"
Food Prices for Nutrition 1.0,"2017","Cabo Verde","537499"
Food Prices for Nutrition 1.0,"2017","Cambodia","16009413"
Food Prices for Nutrition 1.0,"2017","Cameroon","24566070"
Food Prices for Nutrition 1.0,"2017","Canada","36545295"
Food Prices for Nutrition 1.0,"2017","Cayman Islands","63382"
Food Prices for Nutrition 1.0,"2017","Central African Republic","4596023"
Food Prices for Nutrition 1.0,"2017","Chad","15016761"
Food Prices for Nutrition 1.0,"2017","Chile","18470435"
