Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QI","Production Indices","004","Afghanistan","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","109.74","E","Estimated value"
"QI","Production Indices","008","Albania","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","108.44","E","Estimated value"
"QI","Production Indices","012","Algeria","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","102.09","E","Estimated value"
"QI","Production Indices","024","Angola","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","98.77","E","Estimated value"
"QI","Production Indices","028","Antigua and Barbuda","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","88.42","E","Estimated value"
"QI","Production Indices","032","Argentina","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","91.67","E","Estimated value"
"QI","Production Indices","051","Armenia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","94.01","E","Estimated value"
"QI","Production Indices","036","Australia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","103.21","E","Estimated value"
"QI","Production Indices","040","Austria","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","100.29","E","Estimated value"
"QI","Production Indices","031","Azerbaijan","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","107.09","E","Estimated value"
"QI","Production Indices","044","Bahamas","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","99.04","E","Estimated value"
"QI","Production Indices","048","Bahrain","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","88.19","E","Estimated value"
"QI","Production Indices","050","Bangladesh","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","114.69","E","Estimated value"
"QI","Production Indices","052","Barbados","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","99.48","E","Estimated value"
"QI","Production Indices","112","Belarus","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","97.94","E","Estimated value"
"QI","Production Indices","056","Belgium","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","89.76","E","Estimated value"
"QI","Production Indices","084","Belize","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","79.43","E","Estimated value"
"QI","Production Indices","204","Benin","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","95.86","E","Estimated value"
"QI","Production Indices","064","Bhutan","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","117.45","E","Estimated value"
"QI","Production Indices","068","Bolivia (Plurinational State of)","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","100.61","E","Estimated value"
"QI","Production Indices","070","Bosnia and Herzegovina","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","100.7","E","Estimated value"
"QI","Production Indices","072","Botswana","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","131.41","E","Estimated value"
"QI","Production Indices","076","Brazil","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","99.73","E","Estimated value"
"QI","Production Indices","096","Brunei Darussalam","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","102.69","E","Estimated value"
"QI","Production Indices","100","Bulgaria","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","110.56","E","Estimated value"
"QI","Production Indices","854","Burkina Faso","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","91.99","E","Estimated value"
"QI","Production Indices","108","Burundi","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","85.6","E","Estimated value"
"QI","Production Indices","132","Cabo Verde","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","87.2","E","Estimated value"
"QI","Production Indices","116","Cambodia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","100.31","E","Estimated value"
"QI","Production Indices","120","Cameroon","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","94.66","E","Estimated value"
"QI","Production Indices","124","Canada","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","99.43","E","Estimated value"
"QI","Production Indices","140","Central African Republic","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","96.95","E","Estimated value"
"QI","Production Indices","148","Chad","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","93.84","E","Estimated value"
"QI","Production Indices","152","Chile","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","95.45","E","Estimated value"
"QI","Production Indices","159","China","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","102.32","E","Estimated value"
"QI","Production Indices","344","China, Hong Kong SAR","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","100.24","E","Estimated value"
"QI","Production Indices","156","China, mainland","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","102.3","E","Estimated value"
"QI","Production Indices","158","China, Taiwan Province of","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","103.72","E","Estimated value"
"QI","Production Indices","170","Colombia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","79.46","E","Estimated value"
"QI","Production Indices","174","Comoros","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","96.24","E","Estimated value"
"QI","Production Indices","178","Congo","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","96.19","E","Estimated value"
"QI","Production Indices","184","Cook Islands","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","100.73","E","Estimated value"
"QI","Production Indices","188","Costa Rica","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","105.88","E","Estimated value"
"QI","Production Indices","384","Côte d'Ivoire","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","100.96","E","Estimated value"
"QI","Production Indices","191","Croatia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","80.4","E","Estimated value"
"QI","Production Indices","192","Cuba","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","105.65","E","Estimated value"
"QI","Production Indices","196","Cyprus","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","85.57","E","Estimated value"
"QI","Production Indices","203","Czechia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","94.36","E","Estimated value"
"QI","Production Indices","408","Democratic People's Republic of Korea","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","98.94","E","Estimated value"
"QI","Production Indices","180","Democratic Republic of the Congo","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","94.68","E","Estimated value"
"QI","Production Indices","208","Denmark","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","95.78","E","Estimated value"
"QI","Production Indices","262","Djibouti","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","99.96","E","Estimated value"
"QI","Production Indices","212","Dominica","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","98.26","E","Estimated value"
"QI","Production Indices","214","Dominican Republic","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","106.18","E","Estimated value"
"QI","Production Indices","218","Ecuador","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","91.97","E","Estimated value"
"QI","Production Indices","818","Egypt","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","94.61","E","Estimated value"
"QI","Production Indices","222","El Salvador","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","128.99","E","Estimated value"
"QI","Production Indices","226","Equatorial Guinea","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","94.93","E","Estimated value"
"QI","Production Indices","232","Eritrea","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","99.64","E","Estimated value"
"QI","Production Indices","233","Estonia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","86.9","E","Estimated value"
"QI","Production Indices","748","Eswatini","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","100.17","E","Estimated value"
"QI","Production Indices","231","Ethiopia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","97.09","E","Estimated value"
"QI","Production Indices","242","Fiji","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","108.29","E","Estimated value"
"QI","Production Indices","246","Finland","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","100.52","E","Estimated value"
"QI","Production Indices","250","France","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","93.69","E","Estimated value"
"QI","Production Indices","258","French Polynesia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","99.7","E","Estimated value"
"QI","Production Indices","266","Gabon","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","96.19","E","Estimated value"
"QI","Production Indices","270","Gambia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","97.26","E","Estimated value"
"QI","Production Indices","268","Georgia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","87.25","E","Estimated value"
"QI","Production Indices","276","Germany","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","89.6","E","Estimated value"
"QI","Production Indices","288","Ghana","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","101.17","E","Estimated value"
"QI","Production Indices","300","Greece","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","99.52","E","Estimated value"
"QI","Production Indices","308","Grenada","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","90.21","E","Estimated value"
"QI","Production Indices","320","Guatemala","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","104.54","E","Estimated value"
"QI","Production Indices","324","Guinea","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","95.07","E","Estimated value"
"QI","Production Indices","624","Guinea-Bissau","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","98.01","E","Estimated value"
"QI","Production Indices","328","Guyana","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","140.87","E","Estimated value"
"QI","Production Indices","332","Haiti","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","98.29","E","Estimated value"
"QI","Production Indices","340","Honduras","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","99.49","E","Estimated value"
"QI","Production Indices","348","Hungary","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","100.08","E","Estimated value"
"QI","Production Indices","352","Iceland","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","95.94","E","Estimated value"
"QI","Production Indices","356","India","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","105.53","E","Estimated value"
"QI","Production Indices","360","Indonesia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","102.13","E","Estimated value"
"QI","Production Indices","364","Iran (Islamic Republic of)","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","84.21","E","Estimated value"
"QI","Production Indices","368","Iraq","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","67.78","E","Estimated value"
"QI","Production Indices","372","Ireland","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","92.08","E","Estimated value"
"QI","Production Indices","376","Israel","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","95.71","E","Estimated value"
"QI","Production Indices","380","Italy","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","95.2","E","Estimated value"
"QI","Production Indices","388","Jamaica","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","103.79","E","Estimated value"
"QI","Production Indices","392","Japan","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","98.61","E","Estimated value"
"QI","Production Indices","400","Jordan","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","81.85","E","Estimated value"
"QI","Production Indices","398","Kazakhstan","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","101.05","E","Estimated value"
"QI","Production Indices","404","Kenya","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","97.46","E","Estimated value"
"QI","Production Indices","296","Kiribati","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","96.25","E","Estimated value"
"QI","Production Indices","414","Kuwait","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","96.71","E","Estimated value"
"QI","Production Indices","417","Kyrgyzstan","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","101.99","E","Estimated value"
"QI","Production Indices","418","Lao People's Democratic Republic","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","98.42","E","Estimated value"
"QI","Production Indices","428","Latvia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","86.73","E","Estimated value"
"QI","Production Indices","422","Lebanon","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","105.97","E","Estimated value"
"QI","Production Indices","426","Lesotho","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","97.68","E","Estimated value"
"QI","Production Indices","430","Liberia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","97.6","E","Estimated value"
"QI","Production Indices","434","Libya","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","98.16","E","Estimated value"
"QI","Production Indices","440","Lithuania","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","104.47","E","Estimated value"
"QI","Production Indices","442","Luxembourg","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","70.1","E","Estimated value"
"QI","Production Indices","450","Madagascar","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","96.71","E","Estimated value"
"QI","Production Indices","454","Malawi","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","108.64","E","Estimated value"
"QI","Production Indices","458","Malaysia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","94.16","E","Estimated value"
"QI","Production Indices","462","Maldives","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","96.57","E","Estimated value"
"QI","Production Indices","466","Mali","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","114.39","E","Estimated value"
"QI","Production Indices","470","Malta","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","87.9","E","Estimated value"
"QI","Production Indices","478","Mauritania","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","94.18","E","Estimated value"
"QI","Production Indices","480","Mauritius","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","105.95","E","Estimated value"
"QI","Production Indices","484","Mexico","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","113.25","E","Estimated value"
"QI","Production Indices","583","Micronesia (Federated States of)","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","99.72","E","Estimated value"
"QI","Production Indices","496","Mongolia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","89.79","E","Estimated value"
"QI","Production Indices","499","Montenegro","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","100.74","E","Estimated value"
"QI","Production Indices","504","Morocco","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","107.19","E","Estimated value"
"QI","Production Indices","508","Mozambique","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","116.05","E","Estimated value"
"QI","Production Indices","104","Myanmar","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","96.93","E","Estimated value"
"QI","Production Indices","516","Namibia","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","101.81","E","Estimated value"
"QI","Production Indices","520","Nauru","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","100.83","E","Estimated value"
"QI","Production Indices","524","Nepal","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","102.42","E","Estimated value"
"QI","Production Indices","528","Netherlands (Kingdom of the)","434","Gross per capita Production Index Number (2014-2016 = 100)","F1739","Vegetables and Fruit Primary","2017","2017","index","104.21","E","Estimated value"
